|Επώνυμο Ιατρού|Όνομα Ιατρού  |Βαθμίδα Ιατρού|Επίπεδο Εποπτείας|Επώνυμο Επόπτη|Όνομα Επόπτη |Βαθμίδα Επόπτη|
|Κωστούλας     |Γαρυφαλλιά    |Επιμελητής Β΄ |2                |Μακροπούλου   |Τρυφωνία     |Διευθυντής    |
|Λιόντη        |Ορφέας        |Επιμελητής Β΄ |1                |Δημητρίου     |Θεοφάνης     |Διευθυντής    |
|Σμπονιάς      |Αθηναγόρας    |Επιμελητής Β΄ |1                |Κασκαούτη     |Μερκούριος   |Επιμελητής Α΄ |
|Σμπονιάς      |Αθηναγόρας    |Επιμελητής Β΄ |2                |Μακροπούλου   |Τρυφωνία     |Διευθυντής    |
|Ευκαρπίδης    |Θεόφιλος      |Επιμελητής Β΄ |1                |Βαρσάμου      |Εριέτα       |Επιμελητής Α΄ |
|Ευκαρπίδης    |Θεόφιλος      |Επιμελητής Β΄ |2                |Νικολάτου     |Ιορδάνης     |Διευθυντής    |
|Τσέλλος       |Περιστέρα     |Επιμελητής Β΄ |1                |Ενωτιάδη      |Πολύκαρπος   |Επιμελητής Α΄ |
|Τσέλλος       |Περιστέρα     |Επιμελητής Β΄ |2                |Δημητρίου     |Θεοφάνης     |Διευθυντής    |
|Σιμιτζή       |Τριαντάφυλλος |Επιμελητής Β΄ |1                |Κασκαούτη     |Μερκούριος   |Επιμελητής Α΄ |
|Σιμιτζή       |Τριαντάφυλλος |Επιμελητής Β΄ |2                |Μακροπούλου   |Τρυφωνία     |Διευθυντής    |
|Αθανασιάδου   |Θεανώ         |Ειδικευόμενος |1                |Μποτσώλης     |Γραμματική   |Επιμελητής Α΄ |
|Αθανασιάδου   |Θεανώ         |Ειδικευόμενος |2                |Τυμβίου       |Καλλιρόη     |Διευθυντής    |
|Χριστοφόρη    |Χρυσοβαλάντιος|Ειδικευόμενος |1                |Ορφανάκης     |Σπυριδούλα   |Επιμελητής Β΄ |
|Χριστοφόρη    |Χρυσοβαλάντιος|Ειδικευόμενος |2                |Μακροπούλου   |Τρυφωνία     |Διευθυντής    |
|Δρακόπουλος   |Αβραάμ        |Ειδικευόμενος |1                |Ορφανάκης     |Σπυριδούλα   |Επιμελητής Β΄ |
|Δρακόπουλος   |Αβραάμ        |Ειδικευόμενος |2                |Μακροπούλου   |Τρυφωνία     |Διευθυντής    |
|Τζιόβα        |Αφέντρα       |Ειδικευόμενος |1                |Πιπερίδη      |Συμεών       |Διευθυντής    |
|Καφαντάρη     |Βησσαρίων     |Ειδικευόμενος |1                |Ορφανάκης     |Σπυριδούλα   |Επιμελητής Β΄ |
|Καφαντάρη     |Βησσαρίων     |Ειδικευόμενος |2                |Μακροπούλου   |Τρυφωνία     |Διευθυντής    |
|Χιτός         |Επαμεινώνδας  |Ειδικευόμενος |1                |Σιμιτζή       |Τριαντάφυλλος|Επιμελητής Β΄ |
|Χιτός         |Επαμεινώνδας  |Ειδικευόμενος |2                |Κασκαούτη     |Μερκούριος   |Επιμελητής Α΄ |
|Χιτός         |Επαμεινώνδας  |Ειδικευόμενος |3                |Μακροπούλου   |Τρυφωνία     |Διευθυντής    |
|Σαμτανίδου    |Αγνή          |Ειδικευόμενος |1                |Δαμήλου       |Αποστολία    |Επιμελητής Α΄ |
|Σαμτανίδου    |Αγνή          |Ειδικευόμενος |2                |Τυμβίου       |Καλλιρόη     |Διευθυντής    |
|Συρρής        |Μαρκέλλα      |Ειδικευόμενος |1                |Κασκαούτη     |Μερκούριος   |Επιμελητής Α΄ |
|Συρρής        |Μαρκέλλα      |Ειδικευόμενος |2                |Μακροπούλου   |Τρυφωνία     |Διευθυντής    |
|Μακρυγιάννης  |Ανδροκλής     |Ειδικευόμενος |1                |Ορφανάκης     |Σπυριδούλα   |Επιμελητής Β΄ |
|Μακρυγιάννης  |Ανδροκλής     |Ειδικευόμενος |2                |Μακροπούλου   |Τρυφωνία     |Διευθυντής    |
|Κονιάρη       |Παρθένα       |Ειδικευόμενος |1                |Περπινιάς     |Θεόφραστος   |Επιμελητής Α΄ |
|Κονιάρη       |Παρθένα       |Ειδικευόμενος |2                |Γεροδήμος     |Ιγνάτιος     |Διευθυντής    |
|Σπηλιάδου     |Φλωρεντία     |Ειδικευόμενος |1                |Καβούρης      |Θεόπιστος    |Επιμελητής Β΄ |
|Σπηλιάδου     |Φλωρεντία     |Ειδικευόμενος |2                |Περπινιάς     |Θεόφραστος   |Επιμελητής Α΄ |
|Σπηλιάδου     |Φλωρεντία     |Ειδικευόμενος |3                |Γεροδήμος     |Ιγνάτιος     |Διευθυντής    |
|Δαμήλου       |Δάφνη         |Ειδικευόμενος |1                |Λάλας         |Μαλβίνα      |Επιμελητής Β΄ |
|Δαμήλου       |Δάφνη         |Ειδικευόμενος |2                |Δαρσακλή      |Ιγνατία      |Επιμελητής Α΄ |
|Δαμήλου       |Δάφνη         |Ειδικευόμενος |3                |Λυρή          |Πάτροκλος    |Διευθυντής    |
|Καλδή         |Ελπίς         |Ειδικευόμενος |1                |Κωστούλας     |Γαρυφαλλιά   |Επιμελητής Β΄ |
|Καλδή         |Ελπίς         |Ειδικευόμενος |2                |Κασκαούτη     |Μερκούριος   |Επιμελητής Α΄ |
|Καλδή         |Ελπίς         |Ειδικευόμενος |3                |Μακροπούλου   |Τρυφωνία     |Διευθυντής    |
|Παντζαρτζίδης |Μικές         |Ειδικευόμενος |1                |Μαργαρίτη     |Πολύβιος     |Επιμελητής Α΄ |
|Παντζαρτζίδης |Μικές         |Ειδικευόμενος |2                |Γεροδήμος     |Ιγνάτιος     |Διευθυντής    |
|Σιτόπουλος    |Καλυψώ        |Ειδικευόμενος |1                |Κολτσάκη      |Αρτέμης      |Επιμελητής Α΄ |
|Σιτόπουλος    |Καλυψώ        |Ειδικευόμενος |2                |Πιπερίδη      |Συμεών       |Διευθυντής    |
|Βακαλής       |Μαλαματένια   |Ειδικευόμενος |1                |Μανουσοπούλου |Ραχήλ        |Επιμελητής Β΄ |
|Βακαλής       |Μαλαματένια   |Ειδικευόμενος |2                |Τυμβίου       |Καλλιρόη     |Διευθυντής    |
|Καρανασίου    |Σωτηρία       |Ειδικευόμενος |1                |Παπαθανασίου  |Αγαθόνικος   |Επιμελητής Α΄ |
|Καρανασίου    |Σωτηρία       |Ειδικευόμενος |2                |Γεροδήμος     |Ιγνάτιος     |Διευθυντής    |
|Χορόζη        |Αθηνοδώρα     |Ειδικευόμενος |1                |Βασιλείου     |Παρασκευάς   |Επιμελητής Β΄ |
|Χορόζη        |Αθηνοδώρα     |Ειδικευόμενος |2                |Νάστος        |Δρόσος       |Επιμελητής Α΄ |
|Χορόζη        |Αθηνοδώρα     |Ειδικευόμενος |3                |Λυρή          |Πάτροκλος    |Διευθυντής    |
|Νάντσου       |Ιορδανία      |Ειδικευόμενος |1                |Βασιλειάδη    |Διομήδης     |Επιμελητής Β΄ |
|Νάντσου       |Ιορδανία      |Ειδικευόμενος |2                |Περπινιάς     |Θεόφραστος   |Επιμελητής Α΄ |
|Νάντσου       |Ιορδανία      |Ειδικευόμενος |3                |Γεροδήμος     |Ιγνάτιος     |Διευθυντής    |
|Κουρελής      |Ευσταθία      |Ειδικευόμενος |1                |Μασίκα        |Σμαράγδα     |Επιμελητής Β΄ |
|Κουρελής      |Ευσταθία      |Ειδικευόμενος |2                |Αθανασάκης    |Αγλαΐα       |Επιμελητής Α΄ |
|Κουρελής      |Ευσταθία      |Ειδικευόμενος |3                |Δημητρίου     |Θεοφάνης     |Διευθυντής    |
|Παπαφώτης     |Ματθίλδη      |Ειδικευόμενος |1                |Ορφανάκης     |Σπυριδούλα   |Επιμελητής Β΄ |
|Παπαφώτης     |Ματθίλδη      |Ειδικευόμενος |2                |Μακροπούλου   |Τρυφωνία     |Διευθυντής    |
|Κακοτρίχη     |Δωρόθεος      |Ειδικευόμενος |1                |Μανουσοπούλου |Βελισσάριος  |Επιμελητής Α΄ |
|Κακοτρίχη     |Δωρόθεος      |Ειδικευόμενος |2                |Δημητρίου     |Φλώρα        |Διευθυντής    |
|Αργυράκη      |Ανθή          |Ειδικευόμενος |1                |Καμποσάκης    |Παναγιώτα    |Επιμελητής Β΄ |
|Αργυράκη      |Ανθή          |Ειδικευόμενος |2                |Καραντάνα     |Άνθιμος      |Διευθυντής    |
|Μαράκη        |Γαλάτιος      |Ειδικευόμενος |1                |Περπινιάς     |Θεόφραστος   |Επιμελητής Α΄ |
|Μαράκη        |Γαλάτιος      |Ειδικευόμενος |2                |Γεροδήμος     |Ιγνάτιος     |Διευθυντής    |
|Πικρός        |Δαμασκηνός    |Ειδικευόμενος |1                |Δημητρίου     |Φλώρα        |Διευθυντής    |
