|ID Ιατρου|Επώνυμο      |Όνομα         |Ειδικότητα |Βαθμίδα      |Ιατρικές πράξεις τρέχον έτος|
|49       |Γκατζογιάννης|Χρυσοβαλάντω  |ΜΕΘ        |Επιμελητής Β΄|0                           |
|67       |Δαμήλου      |Δάφνη         |Χειρουργική|Ειδικευόμενος|0                           |
|7        |Δημητρίου    |Θεοφάνης      |ΜΕΘ        |Διευθυντής   |0                           |
|58       |Δρακόπουλος  |Αβραάμ        |Χειρουργική|Ειδικευόμενος|0                           |
|40       |Θεοχάρης     |Βαλεντίνα     |Επείγοντα  |Επιμελητής Β΄|0                           |
|77       |Κακοτρίχη    |Δωρόθεος      |Καρδιολογία|Ειδικευόμενος|0                           |
|72       |Καρανασίου   |Σωτηρία       |Επείγοντα  |Ειδικευόμενος|0                           |
|44       |Καρκανάκη    |Γιολάντα      |ΜΕΘ        |Επιμελητής Β΄|0                           |
|12       |Κασκαούτη    |Μερκούριος    |Επείγοντα  |Επιμελητής Α΄|0                           |
|65       |Κονιάρη      |Παρθένα       |Χειρουργική|Ειδικευόμενος|0                           |
|75       |Κουρελής     |Ευσταθία      |Χειρουργική|Ειδικευόμενος|0                           |
|39       |Κουτσοβίδου  |Ρόζα          |Καρδιολογία|Επιμελητής Β΄|0                           |
|34       |Λάλας        |Μαλβίνα       |Επείγοντα  |Επιμελητής Β΄|0                           |
|51       |Λιόντη       |Ορφέας        |ΜΕΘ        |Επιμελητής Β΄|0                           |
|6        |Λογκάκη      |Κλεονίκη      |Καρδιολογία|Διευθυντής   |0                           |
|17       |Λυμπέρης     |Αφροδίτη      |Καρδιολογία|Επιμελητής Α΄|0                           |
|64       |Μακρυγιάννης |Ανδροκλής     |ΜΕΘ        |Ειδικευόμενος|0                           |
|24       |Μανουσοπούλου|Βελισσάριος   |Χειρουργική|Επιμελητής Α΄|0                           |
|48       |Μανουσοπούλου|Ραχήλ         |Καρδιολογία|Επιμελητής Β΄|0                           |
|37       |Μαργαριτάκη  |Θέτις         |Καρδιολογία|Επιμελητής Β΄|0                           |
|29       |Μαργαρίτη    |Πολύβιος      |Χειρουργική|Επιμελητής Α΄|0                           |
|14       |Μποτσώλης    |Γραμματική    |ΜΕΘ        |Επιμελητής Α΄|0                           |
|74       |Νάντσου      |Ιορδανία      |ΜΕΘ        |Ειδικευόμενος|0                           |
|30       |Νάστος       |Δρόσος        |Καρδιολογία|Επιμελητής Α΄|0                           |
|8        |Νικολάτου    |Ιορδάνης      |Επείγοντα  |Διευθυντής   |0                           |
|15       |Νικολόπουλος |Φεβρωνία      |Καρδιολογία|Επιμελητής Α΄|0                           |
|76       |Παπαφώτης    |Ματθίλδη      |Χειρουργική|Ειδικευόμενος|0                           |
|18       |Περπινιάς    |Θεόφραστος    |Επείγοντα  |Επιμελητής Α΄|0                           |
|42       |Πιπεράκης    |Άνθιμος       |Καρδιολογία|Επιμελητής Β΄|0                           |
|47       |Πολίτου      |Άνθιμος       |ΜΕΘ        |Επιμελητής Β΄|0                           |
|62       |Σαμτανίδου   |Αγνή          |Καρδιολογία|Ειδικευόμενος|0                           |
|55       |Σιμιτζή      |Τριαντάφυλλος |Χειρουργική|Επιμελητής Β΄|0                           |
|70       |Σιτόπουλος   |Καλυψώ        |ΜΕΘ        |Ειδικευόμενος|0                           |
|52       |Σμπονιάς     |Αθηναγόρας    |Καρδιολογία|Επιμελητής Β΄|0                           |
|63       |Συρρής       |Μαρκέλλα      |ΜΕΘ        |Ειδικευόμενος|0                           |
|9        |Τυμβίου      |Καλλιρόη      |Επείγοντα  |Διευθυντής   |0                           |
|61       |Χιτός        |Επαμεινώνδας  |ΜΕΘ        |Ειδικευόμενος|0                           |
|73       |Χορόζη       |Αθηνοδώρα     |Επείγοντα  |Ειδικευόμενος|0                           |
|46       |Χρονοπούλου  |Φοίβος        |Χειρουργική|Επιμελητής Β΄|0                           |
